Receiver: 1 ,Data: hello 4, RSSI: -98, Comment: 90,8, Timestamp: Thu Nov 09 2023 17:02:02 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 5, RSSI: -81, Comment: 82,8, Timestamp: Thu Nov 09 2023 17:02:43 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 6, RSSI: -81, Comment: 82,8, Timestamp: Thu Nov 09 2023 17:02:46 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 7, RSSI: -81, Comment: 82,8, Timestamp: Thu Nov 09 2023 17:02:49 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 8, RSSI: -82, Comment: 82,8, Timestamp: Thu Nov 09 2023 17:02:53 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 9, RSSI: -82, Comment: 82,8, Timestamp: Thu Nov 09 2023 17:02:56 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 10, RSSI: -82, Comment: 74,8, Timestamp: Thu Nov 09 2023 17:03:27 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 11, RSSI: -82, Comment: 74,8, Timestamp: Thu Nov 09 2023 17:03:31 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 12, RSSI: -82, Comment: 74,8, Timestamp: Thu Nov 09 2023 17:03:35 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 13, RSSI: -82, Comment: 74,8, Timestamp: Thu Nov 09 2023 17:03:38 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 14, RSSI: -82, Comment: 74,8, Timestamp: Thu Nov 09 2023 17:03:41 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 0, RSSI: -97, Comment: 66,8, Timestamp: Thu Nov 09 2023 17:04:36 GMT+0330 (Iran Standard Time)
Receiver: 1 ,Data: hello 1, RSSI: -98, Comment: 66,8, Timestamp: Thu Nov 09 2023 17:04:39 GMT+0330 (Iran Standard Time)
